USB device:  /dev/ttyS0 	topic:  artemis 	message:  0
USB device:  /dev/ttyS0 	topic:  artemis 	message:  1
USB device:  /dev/ttyS0 	topic:  artemis 	message:  2
USB device:  /dev/ttyS0 	topic:  artemis 	message:  3
USB device:  /dev/ttyS0 	topic:  artemis 	message:  4
USB device:  /dev/ttyS0 	topic:  artemis 	message:  5
USB device:  /dev/ttyS0 	topic:  artemis 	message:  6
USB device:  /dev/ttyS0 	topic:  artemis 	message:  7
USB device:  /dev/ttyS0 	topic:  artemis 	message:  8
USB device:  /dev/ttyS0 	topic:  artemis 	message:  9
USB device:  /dev/ttyS0 	topic:  artemis 	message:  10
USB device:  /dev/ttyS0 	topic:  artemis 	message:  11
USB device:  /dev/ttyS0 	topic:  artemis 	message:  12
USB device:  /dev/ttyS0 	topic:  artemis 	message:  13
USB device:  /dev/ttyS0 	topic:  artemis 	message:  14
USB device:  /dev/ttyS0 	topic:  artemis 	message:  15
USB device:  /dev/ttyS0 	topic:  artemis 	message:  16
USB device:  /dev/ttyS0 	topic:  artemis 	message:  17
USB device:  /dev/ttyS0 	topic:  artemis 	message:  18
USB device:  /dev/ttyS0 	topic:  artemis 	message:  19
USB device:  /dev/ttyS0 	topic:  artemis 	message:  20
USB device:  /dev/ttyS0 	topic:  artemis 	message:  21
USB device:  /dev/ttyS0 	topic:  artemis 	message:  22
USB device:  /dev/ttyS0 	topic:  artemis 	message:  23
USB device:  /dev/ttyS0 	topic:  artemis 	message:  24
USB device:  /dev/ttyS0 	topic:  artemis 	message:  25
USB device:  /dev/ttyS0 	topic:  artemis 	message:  26
USB device:  /dev/ttyS0 	topic:  artemis 	message:  27
USB device:  /dev/ttyS0 	topic:  artemis 	message:  28
USB device:  /dev/ttyS0 	topic:  artemis 	message:  29
USB device:  /dev/ttyS0 	topic:  artemis 	message:  30
USB device:  /dev/ttyS0 	topic:  artemis 	message:  31
USB device:  /dev/ttyS0 	topic:  artemis 	message:  32
USB device:  /dev/ttyS0 	topic:  artemis 	message:  33
USB device:  /dev/ttyS0 	topic:  artemis 	message:  34
USB device:  /dev/ttyS0 	topic:  artemis 	message:  35
USB device:  /dev/ttyS0 	topic:  artemis 	message:  36
USB device:  /dev/ttyS0 	topic:  artemis 	message:  37
USB device:  /dev/ttyS0 	topic:  artemis 	message:  38
USB device:  /dev/ttyS0 	topic:  artemis 	message:  39
USB device:  /dev/ttyS0 	topic:  artemis 	message:  40
USB device:  /dev/ttyS0 	topic:  artemis 	message:  41
USB device:  /dev/ttyS0 	topic:  artemis 	message:  42
USB device:  /dev/ttyS0 	topic:  artemis 	message:  43
USB device:  /dev/ttyS0 	topic:  artemis 	message:  44
USB device:  /dev/ttyS0 	topic:  artemis 	message:  45
USB device:  /dev/ttyS0 	topic:  artemis 	message:  46
USB device:  /dev/ttyS0 	topic:  artemis 	message:  47
USB device:  /dev/ttyS0 	topic:  artemis 	message:  48
USB device:  /dev/ttyS0 	topic:  artemis 	message:  49
USB device:  /dev/ttyS0 	topic:  artemis 	message:  50
USB device:  /dev/ttyS0 	topic:  artemis 	message:  51
USB device:  /dev/ttyS0 	topic:  artemis 	message:  52
USB device:  /dev/ttyS0 	topic:  artemis 	message:  53
USB device:  /dev/ttyS0 	topic:  artemis 	message:  54
USB device:  /dev/ttyS0 	topic:  artemis 	message:  55
USB device:  /dev/ttyS0 	topic:  artemis 	message:  56
USB device:  /dev/ttyS0 	topic:  artemis 	message:  57
USB device:  /dev/ttyS0 	topic:  artemis 	message:  58
USB device:  /dev/ttyS0 	topic:  artemis 	message:  59
USB device:  /dev/ttyS0 	topic:  artemis 	message:  60
USB device:  /dev/ttyS0 	topic:  artemis 	message:  61
USB device:  /dev/ttyS0 	topic:  artemis 	message:  62
USB device:  /dev/ttyS0 	topic:  artemis 	message:  63
USB device:  /dev/ttyS0 	topic:  artemis 	message:  64
USB device:  /dev/ttyS0 	topic:  artemis 	message:  65
USB device:  /dev/ttyS0 	topic:  artemis 	message:  66
USB device:  /dev/ttyS0 	topic:  artemis 	message:  67
USB device:  /dev/ttyS0 	topic:  artemis 	message:  68
USB device:  /dev/ttyS0 	topic:  artemis 	message:  69
USB device:  /dev/ttyS0 	topic:  artemis 	message:  70
USB device:  /dev/ttyS0 	topic:  artemis 	message:  71
USB device:  /dev/ttyS0 	topic:  artemis 	message:  72
USB device:  /dev/ttyS0 	topic:  artemis 	message:  73
USB device:  /dev/ttyS0 	topic:  artemis 	message:  74
USB device:  /dev/ttyS0 	topic:  artemis 	message:  75
USB device:  /dev/ttyS0 	topic:  artemis 	message:  76
USB device:  /dev/ttyS0 	topic:  artemis 	message:  77
USB device:  /dev/ttyS0 	topic:  artemis 	message:  78
USB device:  /dev/ttyS0 	topic:  artemis 	message:  79
USB device:  /dev/ttyS0 	topic:  artemis 	message:  80
USB device:  /dev/ttyS0 	topic:  artemis 	message:  81
USB device:  /dev/ttyS0 	topic:  artemis 	message:  82
USB device:  /dev/ttyS0 	topic:  artemis 	message:  83
USB device:  /dev/ttyS0 	topic:  artemis 	message:  84
USB device:  /dev/ttyS0 	topic:  artemis 	message:  85
USB device:  /dev/ttyS0 	topic:  artemis 	message:  86
USB device:  /dev/ttyS0 	topic:  artemis 	message:  87
USB device:  /dev/ttyS0 	topic:  artemis 	message:  88
USB device:  /dev/ttyS0 	topic:  artemis 	message:  89
USB device:  /dev/ttyS0 	topic:  artemis 	message:  90
USB device:  /dev/ttyS0 	topic:  artemis 	message:  91
USB device:  /dev/ttyS0 	topic:  artemis 	message:  92
USB device:  /dev/ttyS0 	topic:  artemis 	message:  93
USB device:  /dev/ttyS0 	topic:  artemis 	message:  94
USB device:  /dev/ttyS0 	topic:  artemis 	message:  95
USB device:  /dev/ttyS0 	topic:  artemis 	message:  96
USB device:  /dev/ttyS0 	topic:  artemis 	message:  97
USB device:  /dev/ttyS0 	topic:  artemis 	message:  98
USB device:  /dev/ttyS0 	topic:  artemis 	message:  99
